@relation accelerometer

@attribute time numeric
@attribute averageOfVariDiffOfPrecedingWindows numeric
@attribute varianceOfVariDiffOfPrecedingWindows numeric
@attribute averageOfAverageOfPrecedingWindows numeric
@attribute varianceOfAverageOfPrecedingWindows numeric
@attribute variDiffOfCurWindow numeric
@attribute averageOfVariDiffOfSucceedingWindows numeric
@attribute varianceOfVariDiffOfSucceedingWindows numeric
@attribute averageOfAverageOfSucceedingWindows numeric
@attribute varianceOfAverageOfSucceedingWindows numeric
@attribute class {n,p,u}

@data
66783, -0.015,  0.008,  0.049,  0.003,  0.045,  0.020,  0.008,  0.094,  0.002,n
66784,  0.003,  0.002,  0.042,  0.000,  0.108,  0.016,  0.008,  0.096,  0.002,n
66785,  0.013,  0.001,  0.042,  0.001,  0.093,  0.013,  0.007,  0.097,  0.002,n
66786,  0.016,  0.001,  0.046,  0.001,  0.095,  0.005,  0.008,  0.098,  0.002,n
66787,  0.021,  0.001,  0.049,  0.001,  0.092, -0.002,  0.008,  0.099,  0.003,n
66788,  0.026,  0.002,  0.053,  0.001, -0.022, -0.006,  0.008,  0.100,  0.003,n
66789,  0.027,  0.001,  0.056,  0.001, -0.132, -0.006,  0.008,  0.102,  0.003,n
66790,  0.022,  0.002,  0.059,  0.001, -0.120, -0.006,  0.008,  0.102,  0.003,n
66791,  0.018,  0.003,  0.062,  0.001, -0.102, -0.004,  0.008,  0.101,  0.003,n
66792,  0.014,  0.004,  0.064,  0.001, -0.104,  0.002,  0.007,  0.098,  0.003,n
66793,  0.009,  0.004,  0.068,  0.001, -0.101,  0.007,  0.007,  0.095,  0.003,n
66794,  0.005,  0.005,  0.071,  0.001, -0.046,  0.010,  0.007,  0.094,  0.003,n
66795,  0.002,  0.005,  0.073,  0.001,  0.017,  0.010,  0.007,  0.093,  0.003,n
66796,  0.002,  0.005,  0.074,  0.001,  0.001,  0.010,  0.007,  0.093,  0.003,n
66800,  0.002,  0.005,  0.074,  0.001,  0.002,  0.010,  0.007,  0.093,  0.003,n
66801,  0.002,  0.005,  0.075,  0.001, -0.010,  0.011,  0.007,  0.093,  0.003,n
66802,  0.001,  0.005,  0.075,  0.001, -0.008,  0.012,  0.007,  0.093,  0.003,n
66803,  0.001,  0.005,  0.076,  0.001, -0.003,  0.012,  0.007,  0.093,  0.003,n
66804,  0.002,  0.005,  0.076,  0.001, -0.011,  0.012,  0.007,  0.093,  0.003,n
66810,  0.001,  0.005,  0.077,  0.001,  0.045,  0.010,  0.007,  0.092,  0.003,n
66811,  0.002,  0.005,  0.077,  0.001,  0.044,  0.008,  0.007,  0.092,  0.003,n
66812,  0.002,  0.005,  0.077,  0.001,  0.131,  0.002,  0.006,  0.090,  0.003,n
66813,  0.006,  0.006,  0.078,  0.001,  0.102, -0.001,  0.006,  0.087,  0.003,n
66814,  0.007,  0.006,  0.081,  0.001,  0.191, -0.009,  0.004,  0.082,  0.003,n
66815,  0.013,  0.007,  0.086,  0.001,  0.114, -0.013,  0.003,  0.076,  0.003,n
66816,  0.017,  0.008,  0.091,  0.002,  0.127, -0.017,  0.003,  0.071,  0.002,n
66817,  0.020,  0.008,  0.094,  0.002,  0.006, -0.017,  0.003,  0.065,  0.002,n
66818,  0.016,  0.008,  0.096,  0.002,  0.017, -0.018,  0.003,  0.061,  0.002,n
66819,  0.013,  0.007,  0.097,  0.002, -0.111, -0.013,  0.002,  0.057,  0.001,n
66820,  0.005,  0.008,  0.098,  0.002, -0.088, -0.009,  0.002,  0.053,  0.001,n
66821, -0.002,  0.008,  0.099,  0.003, -0.109, -0.004,  0.002,  0.050,  0.001,n
66822, -0.006,  0.008,  0.100,  0.003, -0.139,  0.003,  0.001,  0.048,  0.000,n
66823, -0.006,  0.008,  0.102,  0.003, -0.102,  0.009,  0.000,  0.046,  0.000,n
66825, -0.006,  0.008,  0.102,  0.003, -0.061,  0.013,  0.000,  0.045,  0.000,n
66844, -0.004,  0.008,  0.101,  0.003,  0.032,  0.013,  0.000,  0.047,  0.000,n
66845,  0.002,  0.007,  0.098,  0.003,  0.028,  0.014,  0.000,  0.049,  0.000,n
66846,  0.007,  0.007,  0.095,  0.003,  0.024,  0.012,  0.000,  0.051,  0.000,n
66847,  0.010,  0.007,  0.094,  0.003,  0.022,  0.011,  0.000,  0.050,  0.000,n
66848,  0.010,  0.007,  0.093,  0.003,  0.005,  0.010,  0.000,  0.049,  0.000,n
66849,  0.010,  0.007,  0.093,  0.003,  0.012,  0.010,  0.000,  0.047,  0.001,n
66850,  0.010,  0.007,  0.093,  0.003,  0.012,  0.009,  0.000,  0.046,  0.001,n
66851,  0.011,  0.007,  0.093,  0.003,  0.004,  0.009,  0.000,  0.044,  0.001,n
66852,  0.012,  0.007,  0.093,  0.003,  0.003,  0.009,  0.000,  0.042,  0.001,n
66853,  0.012,  0.007,  0.093,  0.003, -0.009,  0.010,  0.000,  0.041,  0.001,n
66854,  0.012,  0.007,  0.093,  0.003, -0.006,  0.010,  0.000,  0.039,  0.001,n
66855,  0.010,  0.007,  0.092,  0.003, -0.009,  0.010,  0.000,  0.038,  0.001,n
66856,  0.008,  0.007,  0.092,  0.003, -0.002,  0.010,  0.000,  0.036,  0.001,n
66857,  0.002,  0.006,  0.090,  0.003,  0.007,  0.010,  0.000,  0.034,  0.001,n
66858, -0.001,  0.006,  0.087,  0.003,  0.004,  0.010,  0.000,  0.033,  0.001,n
66859, -0.009,  0.004,  0.082,  0.003,  0.010,  0.009,  0.000,  0.031,  0.001,n
66860, -0.013,  0.003,  0.076,  0.003,  0.016,  0.009,  0.000,  0.030,  0.001,n
66861, -0.017,  0.003,  0.071,  0.002,  0.009,  0.008,  0.000,  0.028,  0.001,n
66862, -0.017,  0.003,  0.065,  0.002, -0.001,  0.008,  0.000,  0.026,  0.001,n
66863, -0.018,  0.003,  0.061,  0.002,  0.010,  0.008,  0.000,  0.024,  0.001,n
66864, -0.013,  0.002,  0.057,  0.001,  0.017,  0.007,  0.000,  0.022,  0.001,n
66865, -0.009,  0.002,  0.053,  0.001,  0.025,  0.006,  0.000,  0.020,  0.001,n
66866, -0.004,  0.002,  0.050,  0.001,  0.035,  0.006,  0.000,  0.018,  0.001,n
66867,  0.003,  0.001,  0.048,  0.000,  0.039,  0.006,  0.000,  0.018,  0.001,n
66868,  0.009,  0.000,  0.046,  0.000,  0.036,  0.005,  0.000,  0.018,  0.001,n
66869,  0.013,  0.000,  0.045,  0.000,  0.046,  0.002,  0.000,  0.018,  0.001,n
66870,  0.013,  0.000,  0.047,  0.000,  0.035, -0.001,  0.000,  0.017,  0.001,n
66874,  0.014,  0.000,  0.049,  0.000, -0.025, -0.001,  0.000,  0.015,  0.001,n
66892,  0.012,  0.000,  0.051,  0.000, -0.003, -0.001,  0.000,  0.018,  0.001,n
66893,  0.011,  0.000,  0.050,  0.000, -0.001, -0.002,  0.000,  0.020,  0.001,n
66894,  0.010,  0.000,  0.049,  0.000, -0.001, -0.002,  0.000,  0.022,  0.001,n
66895,  0.010,  0.000,  0.047,  0.001, -0.000, -0.002,  0.000,  0.025,  0.001,n
66896,  0.009,  0.000,  0.046,  0.001, -0.000, -0.002,  0.000,  0.027,  0.001,n
66897,  0.009,  0.000,  0.044,  0.001, -0.001, -0.001,  0.000,  0.029,  0.001,n
66898,  0.009,  0.000,  0.042,  0.001, -0.000,  0.000,  0.000,  0.031,  0.001,n
66899,  0.010,  0.000,  0.041,  0.001,  0.000,  0.002,  0.000,  0.034,  0.001,n
66900,  0.010,  0.000,  0.039,  0.001,  0.000,  0.003,  0.000,  0.037,  0.001,n
66901,  0.010,  0.000,  0.038,  0.001,  0.001,  0.004,  0.000,  0.040,  0.001,n
66902,  0.010,  0.000,  0.036,  0.001,  0.001,  0.005,  0.000,  0.043,  0.001,n
66903,  0.010,  0.000,  0.034,  0.001,  0.001,  0.005,  0.000,  0.045,  0.001,n
66904,  0.010,  0.000,  0.033,  0.001, -0.000,  0.003,  0.001,  0.048,  0.001,n
66905,  0.009,  0.000,  0.031,  0.001, -0.000,  0.001,  0.001,  0.051,  0.001,n
66906,  0.009,  0.000,  0.030,  0.001, -0.001, -0.001,  0.001,  0.053,  0.001,n
66907,  0.008,  0.000,  0.028,  0.001, -0.001, -0.001,  0.001,  0.054,  0.001,n
66908,  0.008,  0.000,  0.026,  0.001, -0.000, -0.001,  0.001,  0.055,  0.000,n
66909,  0.008,  0.000,  0.024,  0.001, -0.000, -0.001,  0.001,  0.055,  0.000,n
66915,  0.007,  0.000,  0.022,  0.001, -0.002, -0.000,  0.001,  0.056,  0.000,n
66925,  0.006,  0.000,  0.020,  0.001,  0.031, -0.001,  0.001,  0.055,  0.000,n
66930,  0.006,  0.000,  0.018,  0.001,  0.040, -0.003,  0.001,  0.053,  0.000,n
66931,  0.006,  0.000,  0.018,  0.001, -0.004, -0.003,  0.001,  0.051,  0.001,n
66932,  0.005,  0.000,  0.018,  0.001, -0.026, -0.003,  0.001,  0.049,  0.001,n
66933,  0.002,  0.000,  0.018,  0.001, -0.024, -0.002,  0.001,  0.047,  0.001,n
66934, -0.001,  0.000,  0.017,  0.001, -0.028, -0.001,  0.001,  0.045,  0.001,n
66935, -0.001,  0.000,  0.015,  0.001, -0.013, -0.001,  0.001,  0.043,  0.001,n
66936, -0.001,  0.000,  0.018,  0.001, -0.011, -0.000,  0.001,  0.041,  0.001,n
66937, -0.002,  0.000,  0.020,  0.001, -0.008,  0.001,  0.001,  0.039,  0.001,n
66938, -0.002,  0.000,  0.022,  0.001,  0.000,  0.001,  0.001,  0.038,  0.001,n
