@relation accelerometer

@attribute time numeric
@attribute averageOfVariDiffOfPrecedingWindows numeric
@attribute varianceOfVariDiffOfPrecedingWindows numeric
@attribute averageOfAverageOfPrecedingWindows numeric
@attribute varianceOfAverageOfPrecedingWindows numeric
@attribute variDiffOfCurWindow numeric
@attribute averageOfVariDiffOfSucceedingWindows numeric
@attribute varianceOfVariDiffOfSucceedingWindows numeric
@attribute averageOfAverageOfSucceedingWindows numeric
@attribute varianceOfAverageOfSucceedingWindows numeric
@attribute class {n,p,u}

@data
38943,  1.456,  2.321,  1.646,  4.402,  1.521, -0.076,  3.254,  6.426,  0.977,n
38944,  1.518,  2.227,  1.900,  5.158,  1.703,  0.053,  4.151,  6.406,  0.957,n
38945,  1.587,  2.125,  2.184,  6.067,  1.514,  0.129,  4.523,  6.367,  0.902,n
38946,  1.648,  2.013,  2.486,  6.978,  1.367,  0.096,  4.465,  6.323,  0.827,n
38947,  1.704,  1.897,  2.793,  7.764,  1.549, -0.067,  4.637,  6.280,  0.749,n
38948,  1.767,  1.769,  3.101,  8.352,  0.941, -0.215,  4.873,  6.244,  0.680,n
38949,  1.805,  1.663,  3.406,  8.713, -0.715, -0.339,  5.386,  6.220,  0.629,n
38950,  1.777,  1.789,  3.707,  8.849, -1.518, -0.424,  5.776,  6.195,  0.582,n
38951,  1.717,  2.105,  4.005,  8.768, -1.878, -0.460,  5.915,  6.162,  0.531,n
38952,  1.642,  2.515,  4.298,  8.473, -2.133, -0.442,  5.860,  6.107,  0.477,n
38953,  1.556,  2.989,  4.589,  7.993, -2.181, -0.355,  5.734,  6.029,  0.455,n
38954,  1.468,  3.464,  4.876,  7.313, -1.989, -0.252,  5.647,  5.970,  0.434,n
38955,  1.385,  3.876,  5.150,  6.434, -1.236, -0.141,  5.730,  5.935,  0.436,n
38956,  1.286,  4.151,  5.383,  5.556, -0.777, -0.049,  5.820,  5.915,  0.439,n
38957,  1.177,  4.298,  5.591,  4.696, -0.734,  0.061,  5.965,  5.914,  0.439,n
38958,  1.045,  4.351,  5.785,  3.845, -0.675,  0.195,  6.209,  5.940,  0.447,n
38959,  0.891,  4.261,  5.955,  3.042, -0.711,  0.326,  6.391,  5.988,  0.468,n
38960,  0.711,  3.982,  6.106,  2.315, -0.669,  0.445,  6.497,  6.054,  0.497,n
38961,  0.573,  3.866,  6.229,  1.724, -0.775,  0.583,  6.622,  6.138,  0.554,n
38962,  0.424,  3.682,  6.325,  1.301, -1.209,  0.721,  6.581,  6.244,  0.625,n
38963,  0.246,  3.425,  6.387,  1.049, -1.259,  0.819,  6.418,  6.377,  0.681,n
38964,  0.052,  3.020,  6.409,  0.965, -0.843,  0.898,  6.300,  6.525,  0.753,n
38965, -0.123,  2.517,  6.408,  0.969,  0.223,  0.933,  6.282,  6.666,  0.843,n
38966, -0.234,  2.099,  6.394,  1.001,  1.503,  0.920,  6.270,  6.793,  1.003,n


37253,  0.232,  9.944,  3.243,  2.858, -1.581,  0.045,  1.330,  0.742,  0.146,n
37254,  0.097,  9.959,  3.268,  2.739, -0.559, -0.008,  1.468,  0.755,  0.156,n
37255, -0.080,  9.358,  3.249,  2.823,  0.023, -0.048,  1.507,  0.780,  0.168,n
37256, -0.285,  8.170,  3.200,  3.021, -0.023, -0.048,  1.507,  0.784,  0.168,n
37257, -0.466,  7.192,  3.143,  3.231, -0.257, -0.010,  1.526,  0.780,  0.169,n
37258, -0.642,  6.276,  3.075,  3.452, -0.205,  0.038,  1.564,  0.787,  0.166,n
37259, -0.733,  5.966,  2.989,  3.716, -0.262,  0.106,  1.637,  0.805,  0.160,n
37260, -0.798,  5.787,  2.856,  3.947, -0.147,  0.142,  1.651,  0.823,  0.157,n
37261, -0.931,  5.128,  2.643,  3.761, -0.258,  0.173,  1.649,  0.841,  0.155,n
37262, -1.059,  4.507,  2.428,  3.451, -0.218,  0.192,  1.642,  0.858,  0.150,n
37263, -1.186,  3.849,  2.221,  3.118, -0.095,  0.189,  1.644,  0.878,  0.142,n
37264, -1.324,  3.020,  2.023,  2.799, -0.009,  0.141,  1.720,  0.902,  0.130,n
37265, -1.362,  2.874,  1.834,  2.491, -0.195,  0.090,  1.821,  0.927,  0.114,n
37266, -1.185,  2.456,  1.655,  2.199, -0.283,  0.080,  1.831,  0.953,  0.095,n
37267, -1.024,  2.057,  1.491,  1.941, -0.261,  0.082,  1.830,  0.980,  0.075,n
37268, -0.847,  1.487,  1.328,  1.637, -0.203,  0.095,  1.827,  1.008,  0.052,n
37269, -0.698,  1.088,  1.155,  1.208,  0.223,  0.107,  1.834,  1.029,  0.038,n
37270, -0.530,  0.646,  0.984,  0.678,  1.513,  0.079,  1.772,  1.017,  0.043,n
37271, -0.347,  0.519,  0.873,  0.343,  2.213,  0.000,  1.576,  0.995,  0.048,n
37272, -0.268,  0.772,  0.844,  0.302,  2.258, -0.096,  1.355,  0.973,  0.051,n
37273, -0.199,  1.006,  0.810,  0.245,  2.378, -0.208,  1.092,  0.950,  0.052,n
37274, -0.067,  1.243,  0.782,  0.199,  1.643, -0.308,  0.955,  0.928,  0.051,n
37275,  0.067,  1.233,  0.762,  0.170, -0.697, -0.304,  0.953,  0.910,  0.048,n
37276,  0.097,  1.160,  0.752,  0.157, -1.665, -0.247,  0.872,  0.897,  0.043,n
37277,  0.068,  1.244,  0.750,  0.156, -1.793, -0.161,  0.780,  0.879,  0.038,n
37278,  0.062,  1.268,  0.746,  0.151, -1.986, -0.056,  0.657,  0.862,  0.033,n
37279,  0.045,  1.330,  0.742,  0.146, -1.893,  0.053,  0.536,  0.841,  0.026,n
37280, -0.008,  1.468,  0.755,  0.156, -0.990,  0.115,  0.497,  0.814,  0.018,n
37281, -0.048,  1.507,  0.780,  0.168, -0.010,  0.108,  0.500,  0.808,  0.019,n
37282, -0.048,  1.507,  0.784,  0.168,  0.695,  0.059,  0.500,  0.809,  0.019,n
37283, -0.010,  1.526,  0.780,  0.169,  0.984, -0.020,  0.503,  0.806,  0.020,n
37284,  0.038,  1.564,  0.787,  0.166,  1.440, -0.105,  0.426,  0.800,  0.020,n
37285,  0.106,  1.637,  0.805,  0.160,  0.754, -0.159,  0.403,  0.790,  0.019,n
37286,  0.142,  1.651,  0.823,  0.157,  0.518, -0.168,  0.392,  0.788,  0.018,n
37287,  0.173,  1.649,  0.841,  0.155,  0.248, -0.130,  0.461,  0.791,  0.019,n
37288,  0.192,  1.642,  0.858,  0.150, -0.161, -0.057,  0.589,  0.794,  0.020,n
37289,  0.189,  1.644,  0.878,  0.142, -1.200,  0.042,  0.599,  0.793,  0.020,n
37290,  0.141,  1.720,  0.902,  0.130, -1.466,  0.149,  0.548,  0.790,  0.020,n
37291,  0.090,  1.821,  0.927,  0.114, -0.538,  0.167,  0.530,  0.790,  0.019,n
37292,  0.080,  1.831,  0.953,  0.095, -0.227,  0.138,  0.574,  0.790,  0.019,n
37293,  0.082,  1.830,  0.980,  0.075,  0.122,  0.078,  0.667,  0.790,  0.019,n
37294,  0.095,  1.827,  1.008,  0.052,  0.535,  0.002,  0.739,  0.790,  0.020,n
37295,  0.107,  1.834,  1.029,  0.038,  0.814, -0.072,  0.750,  0.797,  0.020,n
37296,  0.079,  1.772,  1.017,  0.043,  0.238, -0.117,  0.773,  0.808,  0.019,n
37297,  0.000,  1.576,  0.995,  0.048, -0.132, -0.125,  0.775,  0.810,  0.018,n
37298, -0.096,  1.355,  0.973,  0.051, -0.442, -0.100,  0.774,  0.802,  0.022,n
37299, -0.208,  1.092,  0.950,  0.052, -0.838, -0.049,  0.760,  0.791,  0.028,n
37300, -0.308,  0.955,  0.928,  0.051, -0.602, -0.012,  0.752,  0.776,  0.034,n
37301, -0.304,  0.953,  0.910,  0.048, -0.244,  0.001,  0.750,  0.755,  0.039,n
37302, -0.247,  0.872,  0.897,  0.043,  0.348, -0.026,  0.748,  0.739,  0.044,n
37303, -0.161,  0.780,  0.879,  0.038,  0.656, -0.066,  0.732,  0.719,  0.051,n
37304, -0.056,  0.657,  0.862,  0.033,  0.822, -0.120,  0.704,  0.702,  0.057,n
37305,  0.053,  0.536,  0.841,  0.026,  0.550, -0.163,  0.690,  0.688,  0.063,n
37306,  0.115,  0.497,  0.814,  0.018, -0.163, -0.175,  0.694,  0.673,  0.070,n
37307,  0.108,  0.500,  0.808,  0.019, -0.539, -0.169,  0.691,  0.657,  0.079,n
37308,  0.059,  0.500,  0.809,  0.019, -0.982, -0.137,  0.662,  0.638,  0.091,n
37309, -0.020,  0.503,  0.806,  0.020, -0.695, -0.113,  0.648,  0.612,  0.104,n
37310, -0.105,  0.426,  0.800,  0.020, -0.601, -0.090,  0.638,  0.584,  0.118,n
37311, -0.159,  0.403,  0.790,  0.019,  0.302, -0.102,  0.632,  0.547,  0.125,n
37312, -0.168,  0.392,  0.788,  0.018,  1.197, -0.149,  0.560,  0.507,  0.126,n
37313, -0.130,  0.461,  0.791,  0.019,  1.659, -0.214,  0.421,  0.467,  0.124,n
37314, -0.057,  0.589,  0.794,  0.020,  1.282, -0.262,  0.329,  0.433,  0.122,n
37315,  0.042,  0.599,  0.793,  0.020,  1.197, -0.306,  0.244,  0.400,  0.119,n
37316,  0.149,  0.548,  0.790,  0.020, -0.085, -0.298,  0.249,  0.366,  0.113,n
37317,  0.167,  0.530,  0.790,  0.019, -0.945, -0.255,  0.237,  0.332,  0.101,n
37318,  0.138,  0.574,  0.790,  0.019, -1.382, -0.194,  0.187,  0.297,  0.085,n
37319,  0.078,  0.667,  0.790,  0.019, -1.370, -0.132,  0.131,  0.265,  0.066,n
37320,  0.002,  0.739,  0.790,  0.020, -1.027, -0.070,  0.112,  0.243,  0.051,n
37321, -0.072,  0.750,  0.797,  0.020, -0.905, -0.001,  0.111,  0.226,  0.034,n
37322, -0.117,  0.773,  0.808,  0.019, -0.316,  0.071,  0.194,  0.231,  0.040,n
37323, -0.125,  0.775,  0.810,  0.018,  0.190,  0.146,  0.352,  0.256,  0.068,n
37324, -0.100,  0.774,  0.802,  0.022,  0.435,  0.248,  0.673,  0.305,  0.140,n
37325, -0.049,  0.760,  0.791,  0.028,  0.318,  0.388,  1.187,  0.380,  0.296,n
37326, -0.012,  0.752,  0.776,  0.034,  0.076,  0.561,  1.821,  0.477,  0.534,n
37327,  0.001,  0.750,  0.755,  0.039, -0.314,  0.782,  2.634,  0.616,  0.994,n
37328, -0.026,  0.748,  0.739,  0.044, -0.359,  1.043,  3.723,  0.792,  1.659,n
37329, -0.066,  0.732,  0.719,  0.051, -0.517,  1.293,  4.471,  0.994,  2.483,n
37330, -0.120,  0.704,  0.702,  0.057, -0.522,  1.516,  4.872,  1.233,  3.562,n
37331, -0.163,  0.690,  0.688,  0.063, -0.481,  1.745,  5.231,  1.502,  4.829,n
37332, -0.175,  0.694,  0.673,  0.070, -0.369,  1.895,  5.132,  1.805,  6.306,n
37333, -0.169,  0.691,  0.657,  0.079, -0.182,  2.013,  4.970,  2.133,  7.842,n
37334, -0.137,  0.662,  0.638,  0.091, -0.110,  2.092,  4.777,  2.487,  9.436,n
37335, -0.113,  0.648,  0.612,  0.104, -0.025,  2.124,  4.660,  2.850, 10.867,n
37336, -0.090,  0.638,  0.584,  0.118, -0.006,  2.115,  4.703,  3.212, 12.005,n
37337, -0.102,  0.632,  0.547,  0.125,  0.029,  2.040,  5.169,  3.577, 12.905,n
37338, -0.149,  0.560,  0.507,  0.126,  0.037,  1.939,  5.845,  3.922, 13.323,n
37339, -0.214,  0.421,  0.467,  0.124,  0.090,  1.819,  6.671,  4.250, 13.365,n
37340, -0.262,  0.329,  0.433,  0.122,  0.095,  1.689,  7.561,  4.575, 13.157,n
37341, -0.306,  0.244,  0.400,  0.119,  0.100,  1.586,  8.167,  4.892, 12.683,n
37342, -0.298,  0.249,  0.366,  0.113,  0.135,  1.510,  8.544,  5.198, 11.962,n
37343, -0.255,  0.237,  0.332,  0.101,  0.142,  1.465,  8.722,  5.490, 10.991,n
37344, -0.194,  0.187,  0.297,  0.085,  0.177,  1.474,  8.700,  5.767,  9.834,n
37345, -0.132,  0.131,  0.265,  0.066,  0.526,  1.476,  8.695,  6.034,  8.585,n
37346, -0.070,  0.112,  0.243,  0.051,  0.829,  1.455,  8.735,  6.287,  7.253,n
37347, -0.001,  0.111,  0.226,  0.034,  1.482,  1.380,  8.871,  6.519,  5.954,n
37348,  0.071,  0.194,  0.231,  0.040,  2.061,  1.270,  9.020,  6.733,  4.681,n
37349,  0.146,  0.352,  0.256,  0.068,  2.983,  1.101,  9.128,  6.924,  3.549,n
37350,  0.248,  0.673,  0.305,  0.140,  3.829,  0.880,  9.095,  7.092,  2.629,n
37351,  0.388,  1.187,  0.380,  0.296,  4.394,  0.654,  8.715,  7.242,  1.855,n
37352,  0.561,  1.821,  0.477,  0.534,  5.199,  0.430,  7.849,  7.343,  1.401,n
37353,  0.782,  2.634,  0.616,  0.994,  6.181,  0.191,  6.413,  7.405,  1.159,n
37354,  1.043,  3.723,  0.792,  1.659,  5.727, -0.013,  5.101,  7.442,  1.037,n
37355,  1.293,  4.471,  0.994,  2.483,  5.054, -0.121,  4.251,  7.465,  0.994,n
37356,  1.516,  4.872,  1.233,  3.562,  5.246, -0.230,  3.329,  7.470,  0.990,n
37357,  1.745,  5.231,  1.502,  4.829,  3.376, -0.271,  3.064,  7.439,  0.993,n
37358,  1.895,  5.132,  1.805,  6.306,  2.782, -0.292,  2.945,  7.393,  0.962,n
37359,  2.013,  4.970,  2.133,  7.842,  1.849, -0.304,  2.894,  7.325,  0.865,n
37360,  2.092,  4.777,  2.487,  9.436,  0.793, -0.404,  2.917,  7.242,  0.731,n
37361,  2.124,  4.660,  2.850, 10.867, -0.239, -0.545,  3.364,  7.146,  0.596,n
37362,  2.115,  4.703,  3.212, 12.005, -1.842, -0.644,  3.875,  7.020,  0.471,n
37363,  2.040,  5.169,  3.577, 12.905, -2.489, -0.766,  4.721,  6.891,  0.451,n
37364,  1.939,  5.845,  3.922, 13.323, -2.919, -0.913,  5.911,  6.755,  0.524,n
37365,  1.819,  6.671,  4.250, 13.365, -3.155, -1.058,  7.119,  6.598,  0.682,n
37366,  1.689,  7.561,  4.575, 13.157, -2.475, -1.175,  7.805,  6.401,  1.084,n
37367,  1.586,  8.167,  4.892, 12.683, -1.777, -1.254,  8.059,  6.177,  1.715,n
37368,  1.510,  8.544,  5.198, 11.962, -0.979, -1.331,  8.166,  5.949,  2.433,n
37369,  1.465,  8.722,  5.490, 10.991,  0.399, -1.422,  8.044,  5.711,  3.281,n
37370,  1.474,  8.700,  5.767,  9.834,  0.594, -1.484,  7.880,  5.459,  4.204,n
37371,  1.476,  8.695,  6.034,  8.585,  0.297, -1.497,  7.836,  5.207,  5.085,n
37372,  1.455,  8.735,  6.287,  7.253, -0.391, -1.444,  8.029,  4.963,  5.858,n
37373,  1.380,  8.871,  6.519,  5.954, -0.701, -1.369,  8.283,  4.730,  6.500,n
37374,  1.270,  9.020,  6.733,  4.681, -1.233, -1.257,  8.627,  4.508,  6.971,n
37375,  1.101,  9.128,  6.924,  3.549, -1.702, -1.127,  8.933,  4.283,  7.315,n
37376,  0.880,  9.095,  7.092,  2.629, -1.244, -1.044,  9.082,  4.054,  7.535,n
37377,  0.654,  8.715,  7.242,  1.855, -0.410, -1.032,  9.101,  3.830,  7.693,n
37378,  0.430,  7.849,  7.343,  1.401,  0.208, -1.060,  9.049,  3.612,  7.777,n
37379,  0.191,  6.413,  7.405,  1.159,  0.628, -1.138,  8.926,  3.393,  7.750,n
37380, -0.013,  5.101,  7.442,  1.037,  2.347, -1.287,  8.400,  3.152,  7.468,n
37381, -0.121,  4.251,  7.465,  0.994,  2.523, -1.442,  7.770,  2.900,  6.978,n
37382, -0.230,  3.329,  7.470,  0.990,  2.356, -1.576,  7.158,  2.644,  6.421,n
37383, -0.271,  3.064,  7.439,  0.993,  2.271, -1.674,  6.613,  2.380,  5.675,n
37384, -0.292,  2.945,  7.393,  0.962,  1.544, -1.735,  6.298,  2.112,  4.780,n
37385, -0.304,  2.894,  7.325,  0.865, -1.717, -1.647,  6.495,  1.844,  3.840,n
37386, -0.404,  2.917,  7.242,  0.731, -3.759, -1.458,  6.558,  1.598,  2.877,n
37387, -0.545,  3.364,  7.146,  0.596, -4.313, -1.094,  7.700,  1.448,  2.073,n
37388, -0.644,  3.875,  7.020,  0.471, -5.552, -0.713,  7.789,  1.320,  1.424,n
37389, -0.766,  4.721,  6.891,  0.451, -6.573, -0.293,  7.072,  1.214,  0.921,n
37390, -0.913,  5.911,  6.755,  0.524, -6.792,  0.128,  5.802,  1.133,  0.576,n
37391, -1.058,  7.119,  6.598,  0.682, -5.393,  0.460,  4.743,  1.098,  0.467,n
37392, -1.175,  7.805,  6.401,  1.084, -3.750,  0.449,  4.848,  1.101,  0.472,n
37393, -1.254,  8.059,  6.177,  1.715, -2.921,  0.407,  5.185,  1.120,  0.506,n
37394, -1.331,  8.166,  5.949,  2.433, -1.861,  0.335,  5.654,  1.155,  0.538,n
37395, -1.422,  8.044,  5.711,  3.281, -0.952,  0.229,  6.223,  1.207,  0.554,n
37396, -1.484,  7.880,  5.459,  4.204, -0.027,  0.089,  6.786,  1.265,  0.553,n
37397, -1.497,  7.836,  5.207,  5.085,  0.935, -0.074,  7.166,  1.314,  0.536,n
37398, -1.444,  8.029,  4.963,  5.858,  1.162, -0.121,  7.100,  1.289,  0.586,n
37399, -1.369,  8.283,  4.730,  6.500,  1.562, -0.185,  6.978,  1.257,  0.644,n
37400, -1.257,  8.627,  4.508,  6.971,  1.566, -0.248,  6.847,  1.223,  0.701,n
37401, -1.127,  8.933,  4.283,  7.315,  0.813, -0.281,  6.802,  1.190,  0.756,n
37402, -1.044,  9.082,  4.054,  7.535, -0.108, -0.277,  6.804,  1.158,  0.807,n
37403, -1.032,  9.101,  3.830,  7.693, -0.490, -0.257,  6.804,  1.125,  0.857,n
37404, -1.060,  9.049,  3.612,  7.777, -1.308, -0.205,  6.758,  1.092,  0.905,n
37405, -1.138,  8.926,  3.393,  7.750, -1.378, -0.150,  6.699,  1.059,  0.950,n
37406, -1.287,  8.400,  3.152,  7.468, -1.356, -0.096,  6.637,  1.027,  0.993,n
37407, -1.442,  7.770,  2.900,  6.978, -1.009, -0.055,  6.601,  1.002,  1.029,n
37408, -1.576,  7.158,  2.644,  6.421, -0.182, -0.048,  6.600,  0.980,  1.063,n
37409, -1.674,  6.613,  2.380,  5.675,  0.031, -0.049,  6.600,  0.960,  1.092,n
37410, -1.735,  6.298,  2.112,  4.780,  0.480, -0.068,  6.588,  0.947,  1.114,n
37411, -1.647,  6.495,  1.844,  3.840,  0.976, -0.107,  6.541,  0.927,  1.143,n
37412, -1.458,  6.558,  1.598,  2.877,  4.776, -0.299,  5.510,  0.837,  1.098,n
37413, -1.094,  7.700,  1.448,  2.073,  3.969, -0.457,  4.729,  0.748,  1.039,n
37414, -0.713,  7.789,  1.320,  1.424,  3.928, -0.614,  3.910,  0.660,  0.965,n
37415, -0.293,  7.072,  1.214,  0.921,  3.728, -0.763,  3.117,  0.572,  0.876,n
37416,  0.128,  5.802,  1.133,  0.576,  2.928, -0.881,  2.559,  0.484,  0.772,n
37417,  0.460,  4.743,  1.098,  0.467, -4.037, -0.719,  2.149,  0.396,  0.652,n
37418,  0.449,  4.848,  1.101,  0.472, -3.966, -0.560,  1.705,  0.309,  0.516,n
37419,  0.407,  5.185,  1.120,  0.506, -3.660, -0.414,  1.296,  0.228,  0.393,n
37420,  0.335,  5.654,  1.155,  0.538, -3.614, -0.269,  0.855,  0.149,  0.260,n
37421,  0.229,  6.223,  1.207,  0.554, -3.522, -0.129,  0.396,  0.071,  0.119,u
37422,  0.089,  6.786,  1.265,  0.553, -3.150, -0.003,  0.000,  0.002,  0.000,u
37423, -0.074,  7.166,  1.314,  0.536, -0.014, -0.002,  0.000,  0.002,  0.000,n
37424, -0.121,  7.100,  1.289,  0.586, -0.015, -0.001,  0.000,  0.001,  0.000,n
37425, -0.185,  6.978,  1.257,  0.644, -0.011, -0.001,  0.000,  0.001,  0.000,n
37426, -0.248,  6.847,  1.223,  0.701, -0.011,  0.000,  0.000,  0.001,  0.000,n
37427, -0.281,  6.802,  1.190,  0.756, -0.010,  0.001,  0.000,  0.001,  0.000,n
37428, -0.277,  6.804,  1.158,  0.807, -0.007,  0.001,  0.000,  0.001,  0.000,n
37429, -0.257,  6.804,  1.125,  0.857, -0.000,  0.002,  0.000,  0.002,  0.000,n
37430, -0.205,  6.758,  1.092,  0.905,  0.000,  0.002,  0.000,  0.002,  0.000,n
37431, -0.150,  6.699,  1.059,  0.950,  0.000,  0.003,  0.000,  0.002,  0.000,n
37432, -0.096,  6.637,  1.027,  0.993,  0.000,  0.003,  0.000,  0.003,  0.000,n
37433, -0.055,  6.601,  1.002,  1.029,  0.000,  0.004,  0.000,  0.004,  0.000,n
37434, -0.048,  6.600,  0.980,  1.063,  0.000,  0.005,  0.000,  0.004,  0.000,n
37435, -0.049,  6.600,  0.960,  1.092,  0.000,  0.005,  0.000,  0.005,  0.000,n
37436, -0.068,  6.588,  0.947,  1.114,  0.000,  0.005,  0.000,  0.006,  0.000,n
37437, -0.107,  6.541,  0.927,  1.143,  0.000,  0.005,  0.000,  0.007,  0.000,n
37438, -0.299,  5.510,  0.837,  1.098,  0.000,  0.005,  0.000,  0.008,  0.000,n
37439, -0.457,  4.729,  0.748,  1.039,  0.000,  0.005,  0.000,  0.009,  0.000,n
37440, -0.614,  3.910,  0.660,  0.965,  0.001,  0.005,  0.000,  0.010,  0.000,n
37441, -0.763,  3.117,  0.572,  0.876,  0.001,  0.005,  0.000,  0.011,  0.000,n
37442, -0.881,  2.559,  0.484,  0.772,  0.001,  0.005,  0.000,  0.012,  0.000,n
37443, -0.719,  2.149,  0.396,  0.652,  0.001,  0.004,  0.000,  0.012,  0.000,n
37444, -0.560,  1.705,  0.309,  0.516,  0.000,  0.004,  0.000,  0.013,  0.000,n
37445, -0.414,  1.296,  0.228,  0.393,  0.000,  0.004,  0.000,  0.014,  0.000,n
37446, -0.269,  0.855,  0.149,  0.260, -0.000,  0.004,  0.000,  0.015,  0.000,n
37447, -0.129,  0.396,  0.071,  0.119, -0.000,  0.005,  0.000,  0.016,  0.000,n
37448, -0.003,  0.000,  0.002,  0.000,  0.002,  0.005,  0.000,  0.017,  0.000,n
37449, -0.002,  0.000,  0.002,  0.000,  0.003,  0.005,  0.000,  0.018,  0.000,n
37450, -0.001,  0.000,  0.001,  0.000,  0.006,  0.005,  0.000,  0.018,  0.000,n
37451, -0.001,  0.000,  0.001,  0.000,  0.007,  0.005,  0.000,  0.019,  0.000,n
37452,  0.000,  0.000,  0.001,  0.000,  0.008,  0.005,  0.000,  0.020,  0.000,n
37453,  0.001,  0.000,  0.001,  0.000,  0.008,  0.005,  0.000,  0.021,  0.000,n
37454,  0.001,  0.000,  0.001,  0.000,  0.011,  0.004,  0.000,  0.022,  0.000,n
37455,  0.002,  0.000,  0.002,  0.000,  0.010,  0.004,  0.000,  0.022,  0.000,n
37456,  0.002,  0.000,  0.002,  0.000,  0.013,  0.003,  0.000,  0.023,  0.000,n
37457,  0.003,  0.000,  0.002,  0.000,  0.017,  0.002,  0.000,  0.023,  0.000,n
37458,  0.003,  0.000,  0.003,  0.000,  0.015,  0.001,  0.000,  0.023,  0.000,n
37459,  0.004,  0.000,  0.004,  0.000,  0.013, -0.000,  0.000,  0.024,  0.000,n
37460,  0.005,  0.000,  0.004,  0.000,  0.009, -0.001,  0.000,  0.024,  0.000,n
37461,  0.005,  0.000,  0.005,  0.000,  0.007, -0.001,  0.000,  0.024,  0.000,n
37462,  0.005,  0.000,  0.006,  0.000,  0.005, -0.001,  0.000,  0.024,  0.000,n
37463,  0.005,  0.000,  0.007,  0.000,  0.001, -0.000,  0.000,  0.024,  0.000,n
37464,  0.005,  0.000,  0.008,  0.000, -0.002,  0.001,  0.000,  0.024,  0.000,n
37465,  0.005,  0.000,  0.009,  0.000, -0.003,  0.002,  0.000,  0.025,  0.000,n
37466,  0.005,  0.000,  0.010,  0.000, -0.004,  0.004,  0.000,  0.025,  0.000,n
37467,  0.005,  0.000,  0.011,  0.000, -0.006,  0.010,  0.001,  0.028,  0.000,n
37468,  0.005,  0.000,  0.012,  0.000, -0.006,  0.017,  0.002,  0.032,  0.001,n
37469,  0.004,  0.000,  0.012,  0.000, -0.001,  0.027,  0.004,  0.037,  0.001,n
37470,  0.004,  0.000,  0.013,  0.000,  0.000,  0.039,  0.007,  0.044,  0.002,n
37471,  0.004,  0.000,  0.014,  0.000,  0.001,  0.051,  0.010,  0.051,  0.003,n
37472,  0.004,  0.000,  0.015,  0.000,  0.000,  0.056,  0.010,  0.058,  0.004,n
37473,  0.005,  0.000,  0.016,  0.000,  0.004,  0.059,  0.010,  0.066,  0.005,n
37474,  0.005,  0.000,  0.017,  0.000,  0.003,  0.058,  0.010,  0.075,  0.006,n
37475,  0.005,  0.000,  0.018,  0.000,  0.006,  0.060,  0.010,  0.086,  0.008,n
37476,  0.005,  0.000,  0.018,  0.000,  0.009,  0.060,  0.010,  0.098,  0.010,n
37477,  0.005,  0.000,  0.019,  0.000,  0.012,  0.058,  0.010,  0.110,  0.012,n
37478,  0.005,  0.000,  0.020,  0.000,  0.005,  0.059,  0.010,  0.119,  0.012,n
37479,  0.005,  0.000,  0.021,  0.000,  0.000,  0.058,  0.010,  0.129,  0.013,n
37480,  0.004,  0.000,  0.022,  0.000, -0.004,  0.046,  0.015,  0.136,  0.012,n
37481,  0.004,  0.000,  0.022,  0.000, -0.007,  0.037,  0.018,  0.143,  0.012,n
37482,  0.003,  0.000,  0.023,  0.000, -0.010,  0.029,  0.020,  0.149,  0.011,n
37483,  0.002,  0.000,  0.023,  0.000, -0.013,  0.021,  0.022,  0.155,  0.011,n
37484,  0.001,  0.000,  0.023,  0.000, -0.007,  0.014,  0.024,  0.160,  0.010,n
37485, -0.000,  0.000,  0.024,  0.000, -0.005,  0.008,  0.025,  0.165,  0.009,n
37486, -0.001,  0.000,  0.024,  0.000, -0.004,  0.008,  0.025,  0.166,  0.009,n
37487, -0.001,  0.000,  0.024,  0.000,  0.005,  0.007,  0.025,  0.167,  0.009,n
37488, -0.001,  0.000,  0.024,  0.000,  0.021,  0.005,  0.025,  0.168,  0.008,n
37489, -0.000,  0.000,  0.024,  0.000,  0.027,  0.003,  0.025,  0.169,  0.008,n
37490,  0.001,  0.000,  0.024,  0.000,  0.031,  0.002,  0.025,  0.169,  0.008,n
37491,  0.002,  0.000,  0.025,  0.000,  0.043,  0.002,  0.025,  0.171,  0.008,n
37492,  0.004,  0.000,  0.025,  0.000,  0.152, -0.001,  0.025,  0.170,  0.008,n
37493,  0.010,  0.001,  0.028,  0.000,  0.165, -0.005,  0.024,  0.168,  0.008,n
37494,  0.017,  0.002,  0.032,  0.001,  0.240, -0.011,  0.021,  0.165,  0.008,n
37495,  0.027,  0.004,  0.037,  0.001,  0.297, -0.021,  0.017,  0.161,  0.009,n
37496,  0.039,  0.007,  0.044,  0.002,  0.320, -0.036,  0.012,  0.156,  0.009,n
37497,  0.051,  0.010,  0.051,  0.003,  0.104, -0.043,  0.012,  0.150,  0.009,n
37498,  0.056,  0.010,  0.058,  0.004,  0.086, -0.049,  0.011,  0.144,  0.009,n
37499,  0.059,  0.010,  0.066,  0.005, -0.012, -0.052,  0.011,  0.137,  0.009,n
37500,  0.058,  0.010,  0.075,  0.006,  0.051, -0.057,  0.010,  0.127,  0.008,n
37501,  0.060,  0.010,  0.086,  0.008,  0.002, -0.059,  0.010,  0.116,  0.006,n
37502,  0.060,  0.010,  0.098,  0.010, -0.023, -0.060,  0.010,  0.105,  0.005,n
